age,experience,income,family,ccavg,education,mortgage,securities_account,cd_account,online,creditcard,personal_loan
34,9,180,1,8.9,3,0,0,0,0,0,1
38,14,130,4,4.7,3,134,0,0,0,0,1
46,21,193,2,8.1,3,0,0,0,0,0,1
38,13,119,1,3.3,2,0,0,1,1,1,1
42,18,141,3,5.0,3,0,1,1,1,0,1
32,7,132,4,1.1,2,412,0,0,1,0,1
37,12,194,4,0.2,3,211,1,1,1,1,1
50,26,190,3,2.1,3,240,0,0,1,0,1
56,31,131,2,1.2,3,0,0,0,0,0,1
31,7,135,4,3.8,2,0,0,1,1,1,1
54,30,133,2,2.6,3,0,0,0,0,0,1
55,30,118,4,5.6,2,0,0,0,1,0,1
58,34,149,4,7.2,2,0,0,1,1,1,1
26,0,132,3,6.5,3,0,0,0,0,1,1
29,0,134,4,6.5,3,0,0,0,0,0,1
42,17,168,2,7.9,2,0,0,0,1,0,1
29,3,148,3,4.1,1,0,0,0,1,0,1
46,21,159,3,1.9,3,315,0,0,1,0,1
36,11,158,1,5.1,3,0,0,1,1,1,1
64,39,172,4,3.1,1,282,0,1,1,1,1
65,39,170,3,7.9,3,99,0,1,1,0,1
53,29,120,4,2.7,2,111,1,1,1,0,1
54,28,170,2,6.2,2,325,0,0,1,0,1
65,41,134,3,3.9,3,121,0,0,1,0,1
42,16,111,2,1.2,3,251,0,0,1,0,1
44,19,172,2,4.3,3,391,1,1,1,0,1
41,15,159,1,5.5,3,0,0,1,1,0,1
49,25,195,4,3.0,1,617,0,0,0,0,1
57,31,165,1,1.6,2,0,0,0,1,0,1
40,16,119,2,4.2,2,0,0,0,1,0,1
44,20,101,3,4.4,2,82,0,0,0,0,1
63,39,101,1,3.9,1,0,1,1,1,0,1
59,34,99,1,4.4,1,0,0,0,0,0,1
56,30,158,4,6.1,1,0,0,0,0,0,1
40,15,173,4,6.6,1,0,0,1,1,1,1
26,2,60,2,3.0,1,132,0,0,0,0,1
28,4,155,4,5.3,2,0,0,0,1,0,1
57,32,174,1,6.8,2,466,0,0,1,0,1
65,41,133,4,2.0,1,0,0,0,0,1,1
54,30,100,4,3.4,3,0,0,0,0,0,1
36,10,179,3,6.6,1,0,0,0,1,0,1
28,3,115,4,3.1,2,0,0,0,0,0,1
58,32,113,2,3.8,2,119,0,1,1,1,1
58,28,122,1,3.0,3,115,0,0,1,0,1
29,4,183,3,8.3,3,0,0,0,1,0,1
48,22,149,2,5.5,2,0,1,1,1,0,1
43,19,83,4,3.6,3,0,0,0,0,1,1
64,39,182,1,1.2,2,547,0,0,1,0,1
43,19,152,3,6.1,2,0,0,0,0,0,1
56,32,173,1,4.6,2,88,0,1,1,0,1
36,12,69,3,3.1,2,0,0,0,1,0,1
64,39,122,4,0.2,1,378,0,0,1,0,1
44,20,131,1,4.9,3,0,0,0,1,0,1
53,28,175,3,3.6,3,0,0,1,1,1,1
49,25,161,3,6.5,2,485,1,1,0,0,1
48,22,152,1,3.5,3,0,0,0,1,0,1
28,3,170,1,0.1,3,0,0,0,0,0,1
33,8,115,4,2.9,2,0,0,0,1,0,1
57,32,165,4,2.7,3,0,0,0,1,0,1
47,22,122,1,5.1,3,163,1,0,0,0,1
54,29,129,4,4.2,3,0,0,0,0,0,1
65,41,185,3,2.0,2,0,0,0,0,0,1
65,41,105,1,3.0,2,282,1,1,1,0,1
34,9,164,1,6.0,3,0,0,0,1,0,1
35,9,109,3,4.0,1,0,0,0,0,0,1
45,21,132,3,1.2,2,0,0,1,1,1,1
45,20,114,2,4.4,2,0,0,0,0,0,1
61,35,152,3,3.3,3,0,0,0,1,0,1
64,37,138,2,2.8,2,0,0,0,1,0,1
47,21,109,4,1.8,1,0,0,0,0,0,1
26,2,172,2,6.9,2,0,0,0,1,0,1
54,28,165,1,4.1,3,0,0,1,1,1,1
50,26,135,2,4.6,3,91,0,0,1,0,1
53,28,192,2,6.4,3,0,0,0,0,0,1
56,32,158,3,3.7,3,0,0,0,1,0,1
54,30,194,3,6.0,3,587,1,1,1,1,1
45,15,202,3,10.0,3,0,0,0,0,0,1
55,29,132,3,5.9,2,307,0,0,0,0,1
50,25,130,1,1.1,2,0,0,0,1,0,1
36,12,150,4,5.4,1,0,1,1,1,0,1
63,37,124,3,5.0,2,170,0,0,0,0,1
57,33,182,2,3.3,3,372,0,0,0,0,1
32,6,120,4,5.4,1,301,0,1,1,1,1
50,24,161,3,3.4,1,212,0,0,1,0,1
30,3,172,3,3.4,2,0,0,0,0,1,1
65,41,195,3,0.4,1,0,1,1,0,1,1
65,40,95,3,3.7,2,138,0,0,0,1,1
61,36,193,1,4.7,3,203,0,0,1,0,1
38,13,129,4,4.4,1,140,0,0,0,0,1
59,34,83,2,3.4,3,0,0,0,1,0,1
37,12,169,2,5.2,3,249,0,0,1,0,1
62,36,135,2,5.2,2,0,0,0,1,0,1
43,19,174,3,1.7,3,231,0,1,1,1,1
63,38,83,2,3.4,1,0,0,0,0,0,1
36,12,142,3,2.3,2,0,0,1,1,1,1
41,15,185,1,3.6,2,0,0,0,0,0,1
44,19,99,3,3.5,3,357,0,0,0,0,1
50,26,192,2,1.8,3,301,0,1,1,1,1
27,3,118,1,3.3,2,0,0,0,1,0,1
58,33,122,4,0.2,2,0,0,1,1,0,1
29,4,110,4,2.5,3,0,0,0,0,0,1
56,30,145,4,5.7,2,0,0,1,1,1,1
41,16,175,2,1.1,3,0,0,0,1,0,1
53,27,145,2,6.1,3,294,0,1,1,1,1
47,21,83,1,3.8,1,97,0,0,0,0,1
41,17,138,3,6.9,2,0,0,0,1,0,1
30,5,125,4,0.5,3,0,0,1,1,0,1
44,18,75,2,3.5,1,0,0,0,1,0,1
29,3,175,3,3.3,3,329,0,0,1,0,1
60,35,191,4,5.6,3,0,0,0,0,0,1
50,24,188,3,1.3,1,184,0,0,0,1,1
35,10,182,1,0.3,2,229,0,1,1,1,1
32,8,104,2,3.7,1,0,0,0,0,1,1
30,5,171,2,1.9,2,0,0,0,0,0,1
30,4,73,3,3.3,1,0,0,1,1,1,1
51,26,134,4,4.5,3,0,1,1,1,0,1
32,7,143,3,2.9,3,0,0,0,1,0,1
33,7,120,1,3.2,3,0,0,0,1,0,1
36,11,181,3,1.4,1,0,0,0,0,0,1
41,17,94,3,3.8,2,327,1,1,1,0,1
30,5,112,4,5.0,2,0,0,0,0,1,1
29,3,103,4,3.4,1,0,0,0,1,0,1
28,3,71,1,3.3,2,149,1,1,1,0,1
32,7,123,2,2.9,2,0,0,0,1,0,1
26,1,190,4,1.3,2,197,0,0,1,0,1
63,37,165,4,5.1,3,0,0,0,0,0,1
30,6,118,2,2.8,2,0,0,0,0,0,1
38,13,169,1,6.8,3,0,0,1,1,1,1
33,8,130,3,6.3,2,99,0,0,0,1,1
60,35,130,3,6.3,3,437,0,1,1,1,1
38,13,113,4,1.7,2,0,0,0,0,1,1
56,30,164,4,0.5,2,234,0,1,1,1,1
31,7,192,1,0.0,2,0,0,0,1,0,1
60,36,145,4,6.9,1,380,0,0,0,1,1
26,0,179,4,2.1,2,0,0,0,0,0,1
52,25,180,2,9.0,2,297,0,0,1,0,1
26,2,171,3,6.0,2,0,0,0,1,0,1
39,13,139,3,3.4,1,483,0,0,1,0,1
60,35,135,3,0.3,3,0,0,0,1,0,1
50,26,179,1,2.9,3,0,0,0,0,1,1
47,23,190,4,0.3,3,305,0,0,0,0,1
55,29,172,1,5.2,2,0,0,0,0,0,1
46,22,183,1,3.1,2,0,0,1,1,1,1
63,39,101,2,3.9,3,294,0,0,1,0,1
40,14,129,1,5.9,3,0,0,0,1,0,1
65,39,184,1,5.4,3,176,0,1,1,1,1
65,41,154,2,4.6,2,0,1,1,1,1,1
60,33,154,1,3.0,2,0,1,1,1,0,1
65,39,160,4,3.8,1,237,0,0,1,0,1
35,9,141,2,4.5,2,0,0,0,0,0,1
52,28,178,3,5.4,3,147,0,0,1,0,1
52,26,91,1,4.3,2,0,0,1,1,1,1
30,6,191,2,4.4,2,0,0,0,1,0,1
43,17,64,4,3.0,3,221,0,0,1,0,1
40,16,155,4,0.1,3,0,0,1,1,1,1
59,35,102,4,3.0,2,115,0,0,1,0,1
41,16,114,4,3.5,1,0,0,0,0,1,1
34,8,65,1,3.0,1,227,0,0,1,0,1
29,5,122,4,3.0,1,0,0,0,0,1,1
43,19,170,4,4.25,1,318,0,1,1,1,1
61,36,184,4,2.3,2,342,0,1,1,1,1
57,32,124,1,0.2,2,0,0,0,1,0,1
56,31,192,1,7.0,3,0,0,1,1,0,1
36,6,138,1,7.0,3,86,0,0,1,0,1
55,29,111,2,3.6,3,0,0,0,0,1,1
48,23,84,4,3.1,2,0,1,1,1,0,1
53,29,154,4,7.4,3,0,0,0,0,0,1
61,36,153,1,2.6,2,0,1,1,0,1,1
31,5,93,2,3.1,2,0,0,0,1,0,1
30,6,193,3,6.3,3,0,0,0,1,0,1
58,34,152,4,3.6,3,0,0,0,0,0,1
62,36,158,2,6.3,3,0,0,0,1,0,1
48,18,182,4,6.0,3,0,0,0,1,0,1
33,7,139,1,4.0,3,106,0,1,1,1,1
51,25,190,2,4.2,2,0,0,0,1,0,1
48,23,173,3,0.2,1,0,0,1,1,1,1
37,11,139,2,0.8,2,421,0,0,1,0,1
57,31,114,4,5.2,1,0,1,1,1,0,1
43,19,125,3,2.4,1,0,0,0,1,0,1
33,8,155,1,7.4,3,0,0,0,0,0,1
43,18,128,4,5.3,1,84,0,0,0,0,1
54,29,119,3,2.0,1,0,1,1,0,0,1
44,20,171,4,0.7,1,567,0,1,1,1,1
35,9,113,3,0.8,3,0,0,0,1,0,1
56,32,98,3,3.9,3,0,0,0,0,0,1
44,20,185,3,2.7,1,0,0,0,1,0,1
48,23,112,1,5.1,2,86,1,1,1,0,1
49,23,194,4,8.3,2,0,0,0,0,1,1
56,32,161,1,5.8,3,0,1,0,0,0,1
34,9,178,1,0.8,3,0,0,0,0,0,1
30,6,179,3,4.9,1,142,0,0,1,0,1
63,37,110,1,4.1,3,0,0,0,0,0,1
56,32,125,3,0.6,1,342,0,1,1,1,1
56,30,111,4,0.3,1,372,1,1,1,0,1
42,16,191,3,4.8,2,0,1,1,1,0,1
57,33,134,4,0.9,1,198,0,0,1,0,1
39,9,118,2,6.0,3,246,0,1,1,1,1
34,9,191,1,4.8,3,0,0,1,1,1,1
51,25,181,1,3.3,3,589,1,1,1,0,1
56,32,103,3,4.0,3,0,0,0,0,0,1
44,17,128,2,3.25,2,0,0,0,0,1,1
30,4,142,3,4.2,1,359,0,0,0,0,1
47,23,170,2,6.5,2,0,0,1,1,1,1
49,19,169,3,5.666666666666668,3,167,0,1,0,1,1
46,20,103,4,4.8,3,0,0,0,1,0,1
36,12,113,4,0.2,1,0,0,0,0,0,1
45,20,180,3,8.5,2,535,0,0,0,0,1
43,16,161,3,8.0,2,0,0,1,1,1,1
63,38,134,3,4.0,2,0,0,0,0,1,1
63,38,159,4,4.9,2,111,0,0,0,0,1
34,9,160,4,8.0,3,0,0,0,0,1,1
51,27,188,2,6.9,2,343,0,0,1,0,1
47,21,174,4,3.2,3,0,0,0,0,0,1
35,5,203,1,10.0,3,0,0,0,0,0,1
47,23,178,1,6.5,3,0,0,0,0,0,1
50,26,115,1,1.2,3,0,0,0,0,1,1
33,6,168,3,5.666666666666668,2,0,1,1,1,0,1
50,25,83,4,3.1,1,0,0,0,0,1,1
61,35,99,1,4.8,3,255,0,0,0,1,1
37,13,158,2,2.3,2,0,0,1,1,1,1
62,36,183,2,3.4,3,0,0,0,0,0,1
34,9,123,1,1.6,2,0,0,0,1,0,1
51,24,189,4,4.75,2,0,0,0,1,0,1
38,12,180,1,2.8,3,158,0,0,1,0,1
28,3,193,3,4.0,2,0,0,0,1,0,1
48,24,162,4,3.3,2,446,0,1,1,0,1
36,11,183,1,3.0,3,0,0,1,1,1,1
35,11,190,3,3.1,2,266,0,0,0,0,1
30,3,150,4,5.0,2,0,0,0,1,0,1
55,29,131,2,0.7,2,0,0,0,0,1,1
38,13,168,2,1.3,3,0,0,0,0,0,1
27,3,105,1,3.0,2,0,1,0,0,0,1
29,3,172,4,4.4,1,0,0,0,0,0,1
48,22,114,1,2.4,3,0,0,0,1,0,1
57,33,170,2,2.1,2,0,0,0,0,0,1
27,2,170,3,4.7,1,0,0,0,1,0,1
52,26,182,2,1.4,2,0,0,0,1,0,1
31,5,129,3,5.9,3,319,1,1,0,1,1
27,2,130,3,4.4,1,192,0,0,1,0,1
43,16,201,1,10.0,2,0,0,0,0,1,1
65,40,89,1,4.1,1,299,0,1,1,0,1
31,5,184,4,3.4,2,0,0,1,1,1,1
36,12,123,2,5.6,2,0,0,1,1,1,1
36,12,109,3,0.5,3,0,1,1,1,0,1
33,9,184,2,4.8,2,0,0,0,0,0,1
46,20,185,4,7.5,2,428,0,0,0,1,1
43,17,125,4,3.5,2,0,0,0,0,0,1
39,12,138,1,4.666666666666667,2,0,0,0,1,0,1
61,36,169,2,6.1,3,106,0,1,1,1,1
38,13,140,4,0.5,1,0,0,0,0,0,1
39,12,108,4,3.6666666666666665,2,301,0,0,0,1,1
37,11,123,1,2.3,2,0,1,1,1,0,1
28,3,161,4,1.7,3,422,0,1,1,1,1
34,8,164,4,7.4,3,0,0,0,1,0,1
40,14,179,1,2.6,3,0,0,0,1,0,1
52,28,168,3,6.5,3,118,0,0,1,0,1
58,31,178,2,6.0,2,0,0,0,1,0,1
51,27,92,4,3.0,1,0,0,1,1,1,1
54,29,111,1,1.1,2,0,0,0,1,0,1
51,25,104,1,4.2,2,0,0,0,1,0,1
32,7,98,1,4.2,1,171,1,1,0,0,1
34,8,171,2,2.2,2,569,0,0,1,0,1
58,34,90,1,3.6,2,0,0,0,0,0,1
31,5,180,1,2.9,3,144,1,0,0,0,1
59,34,114,3,4.2,2,0,0,0,1,0,1
47,23,149,4,6.1,1,0,0,0,0,1,1
46,20,152,1,7.4,3,374,0,1,1,1,1
48,23,161,4,7.9,3,310,0,0,0,0,1
52,26,161,4,4.3,1,0,0,1,1,1,1
52,26,110,2,5.4,3,204,1,1,1,0,1
35,11,160,4,5.7,3,0,1,0,0,0,1
42,17,111,3,3.0,1,0,1,1,0,1,1
45,20,191,3,2.6,3,123,0,0,0,0,1
54,29,154,1,2.4,2,352,0,0,1,0,1
30,5,131,3,0.5,3,0,0,0,0,0,1
63,38,148,2,4.3,3,0,0,0,1,0,1
61,36,119,2,5.4,2,0,0,0,1,0,1
35,9,131,3,0.3,3,0,0,1,1,1,1
46,20,158,3,5.4,1,432,0,0,0,1,1
58,33,173,2,7.2,3,0,0,0,1,0,1
54,27,195,2,4.75,2,477,0,0,0,0,1
33,9,183,2,8.8,3,582,0,0,1,0,1
55,31,130,4,6.5,1,0,0,0,0,1,1
63,37,185,2,7.9,2,358,0,0,1,0,1
59,35,168,4,4.1,2,0,0,0,1,0,1
36,9,115,4,2.2,2,0,0,0,0,0,1
52,22,154,1,5.0,3,0,1,1,1,0,1
37,12,182,3,5.8,3,0,0,0,1,0,1
42,16,185,3,2.2,2,0,1,1,1,1,1
53,28,183,3,8.2,3,467,0,1,1,1,1
45,21,133,4,5.7,3,0,0,1,1,1,1
30,6,181,3,4.1,2,0,0,1,1,1,1
37,11,190,4,7.3,2,565,0,1,1,0,1
36,10,172,4,1.0,2,295,0,0,1,0,1
34,8,184,3,7.5,1,0,0,0,0,0,1
35,11,188,1,0.9,3,282,0,0,1,0,1
49,25,114,1,2.5,3,0,0,0,1,0,1
45,19,122,4,4.1,2,0,0,0,1,0,1
57,31,113,4,0.6,3,327,0,0,1,0,1
27,1,140,1,5.9,2,175,1,1,1,0,1
56,32,190,3,2.2,1,0,0,1,1,0,1
46,22,102,3,4.5,3,0,0,0,1,0,1
44,20,130,4,3.2,2,0,0,0,0,0,1
26,2,132,2,2.4,3,0,0,0,0,1,1
62,38,195,4,5.2,3,522,0,1,1,1,1
44,18,162,4,1.3,1,301,0,0,0,0,1
54,30,121,2,1.1,3,0,1,0,0,0,1
55,30,153,2,2.8,2,0,1,1,1,0,1
42,18,103,1,3.333333333333333,1,0,1,1,1,1,1
40,14,164,1,4.3,2,0,0,0,0,0,1
62,36,148,3,7.0,2,0,0,0,1,0,1
62,37,169,3,5.0,2,184,0,1,1,1,1
43,19,130,2,4.7,3,221,0,0,0,1,1
27,2,158,3,0.4,2,0,0,1,1,0,1
34,9,141,2,4.9,3,0,0,0,0,1,1
45,21,134,4,5.5,2,0,0,1,1,1,1
64,38,168,4,5.7,3,0,0,0,1,0,1
26,0,129,3,0.7,2,0,0,0,0,0,1
43,18,179,3,1.2,1,0,1,1,1,0,1
57,31,131,3,0.6,1,0,0,0,1,0,1
34,8,175,4,1.1,3,0,1,1,1,1,1
34,10,114,3,3.3,3,0,0,0,0,0,1
47,22,124,4,5.0,3,0,0,0,0,0,1
27,1,99,1,3.0,3,149,0,0,0,1,1
41,15,158,1,4.7,2,0,1,1,0,1,1
42,16,173,2,1.5,2,373,0,1,1,1,1
65,39,94,4,4.1,1,120,0,1,1,1,1
43,17,111,4,5.4,3,0,0,0,1,0,1
50,23,179,4,3.6,2,0,0,0,1,0,1
52,27,93,4,4.1,2,0,0,0,0,1,1
55,31,159,1,3.9,3,0,0,0,0,0,1
56,30,140,4,0.5,1,292,0,0,0,0,1
42,16,141,3,4.0,2,0,0,0,0,0,1
63,37,132,1,4.4,2,0,0,0,1,0,1
46,20,105,4,3.2,1,0,0,0,0,0,1
60,35,153,3,2.0,3,0,0,0,0,1,1
53,27,174,1,2.9,2,0,0,0,1,0,1
42,18,164,1,1.3,3,0,1,1,1,1,1
27,1,141,4,5.1,3,354,0,0,0,0,1
62,37,125,1,1.0,3,0,0,0,1,0,1
49,23,115,3,4.6,3,0,0,0,0,0,1
45,18,163,3,5.333333333333333,2,0,0,1,0,1,1
28,2,182,3,7.2,2,442,0,1,1,1,1
46,22,135,3,4.1,1,213,0,0,1,0,1
35,10,142,4,0.8,3,0,0,0,0,0,1
54,29,82,3,3.7,2,0,0,0,1,0,1
57,32,135,3,4.8,2,0,1,1,1,0,1
46,22,125,2,4.7,3,0,0,0,1,0,1
61,37,172,4,4.25,1,0,0,1,1,1,1
63,37,149,2,0.2,3,364,0,0,1,0,1
54,27,120,4,3.0,2,431,0,0,1,0,1
31,6,133,1,1.5,3,0,0,0,0,0,1
36,12,154,3,6.4,1,0,1,0,0,0,1
30,6,182,4,0.8,3,94,0,0,1,0,1
33,9,125,1,4.3,3,0,0,0,1,0,1
30,6,95,1,3.9,3,146,0,0,0,1,1
45,20,144,4,5.4,1,210,0,0,1,0,1
30,5,118,4,3.0,3,0,0,0,1,0,1
32,8,169,1,6.5,3,272,1,1,1,0,1
53,27,139,1,0.9,3,0,0,0,0,0,1
42,18,153,3,5.6,1,416,0,0,0,0,1
60,36,165,3,5.6,1,0,0,0,0,1,1
29,5,128,2,4.1,2,209,0,0,1,0,1
61,31,130,2,2.6,3,0,0,0,0,0,1
50,25,99,1,4.6,1,368,1,1,0,1,1
35,11,148,1,5.8,3,0,0,0,1,0,1
34,10,154,3,5.4,2,0,0,0,1,0,1
34,9,141,3,6.9,2,260,0,0,1,0,1
49,23,140,1,1.9,3,0,0,0,0,1,1
29,4,120,1,4.1,2,0,1,1,0,1,1
38,13,129,4,0.3,3,75,0,0,1,0,1
50,25,160,4,4.3,3,410,0,0,0,0,1
36,11,184,2,5.1,2,0,0,0,0,0,1
63,39,131,3,2.6,3,229,0,0,1,0,1
28,3,118,3,2.4,2,161,0,0,0,0,1
26,0,83,3,3.9,2,0,0,0,1,0,1
45,21,142,1,1.4,2,0,0,0,1,0,1
59,35,108,4,3.8,2,304,0,0,1,0,1
27,3,135,3,2.7,3,449,0,0,0,1,1
30,6,115,4,3.8,2,0,0,0,1,0,1
35,9,188,2,3.7,2,259,0,0,1,0,1
63,33,178,4,9.0,3,0,0,0,0,0,1
33,9,131,3,2.2,3,0,1,0,0,0,1
32,7,129,4,5.2,2,0,0,0,0,1,1
42,18,158,2,0.4,2,277,0,0,0,1,1
62,32,142,2,2.8,3,0,0,0,0,1,1
42,17,139,2,2.9,3,0,0,0,1,0,1
64,34,179,2,4.5,3,400,0,0,0,0,1
61,36,188,1,9.3,2,0,0,0,0,0,1
29,3,123,3,5.6,3,428,0,0,1,0,1
32,8,119,4,5.0,3,0,0,0,1,0,1
37,12,123,4,3.1,2,253,0,1,1,1,1
43,19,123,3,1.3,1,0,0,0,1,0,1
39,13,93,4,3.6,3,0,0,0,1,0,1
38,14,182,3,2.6,3,0,0,1,1,1,1
59,35,85,1,3.4,3,0,0,1,0,1,1
47,22,95,2,3.9,2,0,0,0,0,0,1
62,37,93,3,3.0,3,0,0,1,1,1,1
61,31,154,3,7.5,3,351,0,1,1,1,1
53,28,173,4,2.7,1,427,0,0,1,0,1
58,32,191,4,5.2,3,194,0,0,0,1,1
51,25,175,3,0.7,1,312,0,0,0,0,1
27,1,142,3,5.5,1,0,0,0,0,0,1
34,9,180,2,6.5,3,0,0,1,1,0,1
60,35,155,1,1.5,3,0,0,0,0,1,1
52,28,179,4,4.2,3,0,0,0,0,0,1
49,24,138,2,2.2,2,0,0,0,1,0,1
53,29,141,2,0.2,3,0,0,0,0,0,1
59,35,180,2,6.5,2,0,1,1,1,1,1
44,18,123,3,5.9,1,0,0,1,1,1,1
51,25,163,2,1.3,3,0,0,0,1,0,1
54,28,108,4,1.9,2,0,0,0,1,0,1
63,38,135,2,3.8,3,183,0,0,0,0,1
48,24,144,4,3.5,2,0,0,0,0,0,1
60,34,139,4,0.4,1,0,0,0,1,0,1
41,17,143,2,2.7,3,209,0,0,1,0,1
42,17,154,3,4.9,1,0,0,1,1,1,1
29,3,91,1,3.4,3,0,0,0,0,0,1
40,16,89,3,3.9,2,216,1,1,1,0,1
60,35,173,3,3.1,3,0,0,0,1,0,1
52,26,155,3,7.2,2,0,0,0,1,0,1
52,26,158,2,3.7,3,251,0,0,0,1,1
52,26,194,2,5.7,2,0,0,0,1,0,1
26,0,195,3,6.333333333333332,3,0,1,1,1,0,1
63,37,191,2,4.3,3,205,0,0,0,0,1
49,24,130,4,1.1,1,281,0,1,1,0,1
52,27,85,3,3.4,3,0,0,0,0,0,1
45,19,128,4,6.0,3,0,0,0,1,0,1
44,20,132,3,2.6,1,308,0,0,0,0,1
34,8,188,1,2.9,3,0,0,0,1,0,1
65,41,170,4,6.1,2,0,0,1,1,1,1
64,38,143,2,6.4,3,0,1,1,1,0,1
26,2,182,2,3.2,2,0,0,0,0,0,1
26,1,184,2,4.2,3,577,0,1,1,1,1
40,16,140,3,5.6,1,0,0,0,0,0,1
39,14,141,4,6.3,1,0,1,1,1,1,1
33,8,145,1,2.7,3,0,0,0,1,0,1
64,40,181,2,2.3,2,0,0,1,1,1,1
33,8,178,3,8.5,1,0,1,1,1,0,1
59,34,145,4,1.8,1,198,0,0,1,0,1
57,31,164,2,3.8,3,422,0,1,1,1,1
26,0,164,2,4.0,3,301,0,0,1,0,1
33,7,104,2,3.6,3,0,0,0,0,1,1
44,20,111,2,5.3,2,0,0,0,1,0,1
55,30,145,2,6.0,3,0,0,0,1,0,1
29,4,182,1,3.7,3,0,0,0,1,0,1
48,22,133,2,3.1,2,0,0,0,1,0,1
33,8,120,2,4.2,3,76,0,0,0,1,1
53,27,115,2,0.5,3,0,0,0,0,0,1
52,26,83,1,3.1,1,0,0,0,1,0,1
35,11,180,1,3.6,3,571,0,1,1,1,1
58,34,151,3,0.6,2,0,0,0,0,0,1
54,30,133,1,5.0,2,0,0,0,0,1,1
32,7,81,2,3.4,2,0,0,0,0,1,1
45,21,102,4,4.7,2,81,0,0,0,0,1
27,1,134,1,1.7,2,307,0,0,1,0,1
27,1,130,3,2.9,2,0,0,0,0,0,1
32,8,142,4,6.2,2,120,0,1,1,1,1
65,40,143,4,6.6,2,0,0,0,1,0,1
38,12,184,3,8.0,1,0,0,0,1,0,1
33,7,188,2,7.0,2,581,0,0,0,0,1
48,22,162,3,1.4,1,400,0,0,0,0,1
35,5,108,2,2.75,3,0,1,0,0,0,1
61,37,141,3,0.7,1,0,0,1,1,1,1
32,8,140,4,6.6,3,0,0,1,0,1,1
51,25,173,1,0.5,2,0,0,0,1,0,1
35,11,101,3,3.8,3,150,0,0,1,0,1
36,12,123,2,3.0,3,0,0,0,0,0,1
29,4,184,4,2.2,3,612,0,0,1,0,1
46,21,115,2,4.2,3,0,1,1,1,1,1
49,23,174,3,4.6,2,590,0,0,0,0,1
35,10,135,3,4.8,2,0,0,0,1,0,1
34,8,165,1,7.0,3,541,0,0,0,0,1
50,24,133,4,1.4,2,342,0,0,0,1,1
44,19,142,1,1.5,3,0,0,0,0,0,1
38,13,129,3,4.1,3,0,0,1,1,1,1
43,19,121,1,0.7,2,0,0,1,1,1,1
28,4,112,2,1.6,2,0,0,0,1,0,1
46,20,122,3,3.0,3,0,0,1,1,1,1
29,5,135,3,5.3,1,0,0,1,1,1,1
